2025-06-24 23:44:11.258124,Motion Detected
2025-06-24 23:44:12.955652,Unknown face detected
2025-06-24 23:44:13.989343,Motion Detected
2025-06-24 23:44:15.053440,Unknown face detected
2025-06-24 23:44:15.535631,Motion Detected
2025-06-24 23:44:16.710719,Unknown face detected
2025-06-24 23:44:17.176701,Motion Detected
2025-06-24 23:44:18.153737,Unknown face detected
2025-06-24 23:44:18.681681,Motion Detected
2025-06-24 23:44:19.608159,Unknown face detected
2025-06-24 23:44:19.911714,Motion Detected
2025-06-24 23:44:20.847374,Unknown face detected
2025-06-24 23:44:21.306393,Motion Detected
2025-06-24 23:44:22.230033,Unknown face detected
2025-06-24 23:44:22.667844,Motion Detected
2025-06-24 23:44:23.601744,Unknown face detected
2025-06-24 23:44:24.028827,Motion Detected
2025-06-24 23:44:24.959757,Unknown face detected
2025-06-24 23:44:25.396584,Motion Detected
2025-06-24 23:44:26.321346,Unknown face detected
2025-06-24 23:44:26.896302,Motion Detected
2025-06-24 23:44:27.819166,Unknown face detected
2025-06-24 23:44:28.130597,Motion Detected
2025-06-24 23:44:29.046124,Unknown face detected
2025-06-24 23:44:29.497610,Motion Detected
2025-06-24 23:44:30.436995,Unknown face detected
2025-06-24 23:44:30.885351,Motion Detected
2025-06-24 23:44:31.807467,Unknown face detected
2025-06-24 23:44:32.265077,Motion Detected
2025-06-24 23:44:33.190818,Unknown face detected
2025-06-24 23:44:33.629177,Motion Detected
2025-06-24 23:44:34.551762,Unknown face detected
2025-06-24 23:44:35.004161,Motion Detected
2025-06-24 23:44:35.933077,Unknown face detected
2025-06-24 23:44:36.364904,Motion Detected
2025-06-24 23:44:37.291872,Unknown face detected
2025-06-24 23:44:37.732646,Motion Detected
2025-06-24 23:44:38.656570,Unknown face detected
2025-06-24 23:44:39.104151,Motion Detected
2025-06-24 23:44:40.022790,Unknown face detected
2025-06-24 23:44:40.531109,Motion Detected
2025-06-24 23:44:41.473064,Unknown face detected
2025-06-24 23:44:41.943785,Motion Detected
2025-06-24 23:44:42.881097,Unknown face detected
2025-06-24 23:44:43.466854,Motion Detected
2025-06-24 23:44:44.395471,Unknown face detected
2025-06-24 23:44:44.825405,Motion Detected
2025-06-24 23:44:45.751457,Unknown face detected
2025-06-24 23:44:46.184487,Motion Detected
2025-06-24 23:44:47.116825,Unknown face detected
2025-06-24 23:44:47.585238,Motion Detected
2025-06-24 23:44:48.528209,Unknown face detected
2025-06-24 23:44:48.974998,Motion Detected
2025-06-24 23:44:49.900057,Unknown face detected
2025-06-24 23:44:50.356807,Motion Detected
2025-06-24 23:44:51.286768,Unknown face detected
2025-06-24 23:44:52.233172,Motion Detected
2025-06-24 23:44:53.184470,Unknown face detected
2025-06-24 23:44:53.507414,Motion Detected
2025-06-24 23:44:54.489864,Unknown face detected
2025-06-24 23:44:54.997867,Motion Detected
2025-06-24 23:44:56.012625,Unknown face detected
2025-06-24 23:44:56.538718,Motion Detected
2025-06-24 23:44:57.484277,Unknown face detected
2025-06-24 23:44:57.915289,Motion Detected
2025-06-24 23:44:58.847631,Unknown face detected
2025-06-24 23:44:59.286835,Motion Detected
2025-06-24 23:45:00.211184,Unknown face detected
2025-06-24 23:45:00.664020,Motion Detected
2025-06-24 23:45:01.605662,Unknown face detected
2025-06-24 23:45:02.077965,Motion Detected
2025-06-24 23:45:03.007348,Unknown face detected
2025-06-24 23:45:03.453035,Motion Detected
2025-06-24 23:45:04.388545,Unknown face detected
2025-06-24 23:45:04.823142,Motion Detected
2025-06-24 23:45:05.747017,Unknown face detected
2025-06-24 23:45:06.204818,Motion Detected
2025-06-24 23:45:07.136033,Unknown face detected
2025-06-24 23:45:07.598011,Motion Detected
2025-06-24 23:45:08.523836,Unknown face detected
2025-06-24 23:45:08.984091,Motion Detected
2025-06-24 23:45:09.907850,Unknown face detected
2025-06-24 23:45:10.349473,Motion Detected
2025-06-24 23:45:11.277079,Unknown face detected
2025-06-24 23:45:11.723675,Motion Detected
2025-06-24 23:45:12.642925,Unknown face detected
2025-06-24 23:45:13.081536,Motion Detected
2025-06-24 23:45:14.016149,Unknown face detected
2025-06-24 23:45:14.452851,Motion Detected
2025-06-24 23:45:15.380441,Unknown face detected
2025-06-24 23:45:15.818354,Motion Detected
2025-06-24 23:45:16.737336,Unknown face detected
2025-06-24 23:45:17.183041,Motion Detected
2025-06-24 23:45:18.113414,Unknown face detected
2025-06-24 23:45:18.548976,Motion Detected
2025-06-24 23:45:19.467781,Unknown face detected
2025-06-24 23:45:20.051135,Motion Detected
2025-06-24 23:45:20.976078,Unknown face detected
2025-06-24 23:45:21.415233,Motion Detected
2025-06-24 23:45:22.336600,Unknown face detected
2025-06-24 23:45:22.780917,Motion Detected
2025-06-24 23:45:23.703387,Unknown face detected
2025-06-24 23:45:24.292014,Motion Detected
2025-06-24 23:45:25.236930,Unknown face detected
2025-06-24 23:45:25.767586,Motion Detected
2025-06-24 23:45:26.699969,Unknown face detected
2025-06-24 23:45:27.165894,Motion Detected
2025-06-24 23:45:28.106647,Unknown face detected
2025-06-24 23:45:28.524295,Motion Detected
2025-06-24 23:45:29.452368,Unknown face detected
2025-06-24 23:45:29.909276,Motion Detected
2025-06-24 23:45:30.847008,Unknown face detected
2025-06-24 23:45:31.277045,Motion Detected
2025-06-24 23:45:32.203164,Unknown face detected
2025-06-24 23:45:32.634273,Motion Detected
2025-06-24 23:45:33.564207,Unknown face detected
2025-06-24 23:45:34.001559,Motion Detected
2025-06-24 23:45:34.933844,Unknown face detected
2025-06-24 23:45:35.375793,Motion Detected
2025-06-24 23:45:36.309665,Unknown face detected
2025-06-24 23:55:24.162759,Motion Detected
2025-06-24 23:55:25.540033,Unknown face detected
2025-06-24 23:55:26.283730,Motion Detected
2025-06-24 23:55:27.218914,Unknown face detected
2025-06-24 23:55:27.676310,Motion Detected
2025-06-24 23:55:28.605467,Unknown face detected
2025-06-24 23:55:29.034325,Motion Detected
2025-06-24 23:55:29.950554,Unknown face detected
2025-06-24 23:55:30.362062,Motion Detected
2025-06-24 23:55:31.287185,Unknown face detected
2025-06-24 23:55:31.765567,Motion Detected
2025-06-24 23:55:32.694015,Unknown face detected
2025-06-24 23:57:00.800119,Motion Detected
2025-06-24 23:57:01.902058,Unknown face detected
2025-06-24 23:57:02.665962,Motion Detected
2025-06-24 23:57:03.614686,Unknown face detected
2025-06-24 23:57:04.079824,Motion Detected
2025-06-24 23:57:05.006048,Unknown face detected
2025-06-24 23:57:05.442371,Motion Detected
2025-06-24 23:57:06.359554,Unknown face detected
2025-06-24 23:57:06.832168,Motion Detected
2025-06-24 23:57:07.750900,Unknown face detected
2025-06-24 23:57:08.214041,Motion Detected
2025-06-24 23:57:09.149433,Unknown face detected
2025-06-25 00:00:56.155132,Motion Detected
2025-06-25 00:00:57.731605,Motion Detected
2025-06-25 00:00:58.844910,Motion Detected
2025-06-25 00:00:59.863916,Motion Detected
2025-06-25 00:01:01.082270,Motion Detected
2025-06-25 00:01:02.264751,Motion Detected
2025-06-25 00:01:03.301452,Motion Detected
2025-06-25 00:01:04.305710,Motion Detected
